Update,PUBLICATION,,PRICE,DA,DR,GENRE,TAT,SPONSORED,INDEXED,DOFOLLOW,REGION / LOCATION,EROTIC,HEALTH,CBD,CRYPTO,GAMBLING
,The Roanoke Times,,"$1,300",74,78,News,1 Week,N,Y,Y,VIRGINIA,,Y,Y,Y,
,The Times of Northwest Indiana,,"$1,300",74,78,News,1 Week,N,Y,Y,INDIANA,,Y,Y,Y,
,Lincoln Journal Star,,"$1,300",73,79,News,1 Week,N,Y,Y,NEBRASKA,,Y,Y,Y,
,Tulsa World,,"$1,300",77,80,News,1 Week,N,Y,Y,OKLAHOMA,,Y,Y,Y,
,Omaha World-Herald,,"$1,300",78,81,News,1 Week,N,Y,Y,NEBRASKA,,Y,Y,Y,
,The Buffalo News,,"$1,300",76,82,News,1 Week,N,Y,Y,NEW YORK,,Y,Y,Y,
,Richmond Times-Dispatch,,"$1,300",75,78,News,1 Week,N,Y,Y,VIRGINIA,,Y,Y,Y,
,STL Today,,"$1,300",86,84,News,1 Week,N,Y,Y,MISSOURI,,Y,Y,Y,
,Lexington Clipper-Herald,,"$1,300",50,46,News,1 Week,N,Y,Y,NEBRASKA,,,,Y,
,The McDowell News,,"$1,300",52,52,News,1 Week,N,Y,Y,NORTH CAROLINA,,,,Y,
,Mooresville Tribune,,"$1,300",53,56,News,1 Week,N,Y,Y,NORTH CAROLINA,,,,Y,
,The Beatrice Daily Sun,,"$1,300",56,57,News,1 Week,N,Y,Y,NEBRASKA,,,,Y,
,Statesville Record & Landmark,,"$1,300",60,58,News,1 Week,N,Y,Y,NORTH CAROLINA,,Y,Y,Y,
,Journal Gazette & Times-Courier,,"$1,300",60,59,News,1 Week,N,Y,Y,ILLINOIS,,Y,Y,Y,
,York New-Times,,"$1,300",59,61,News,1 Week,N,Y,Y,NEBRASKA,,Y,Y,Y,
,Danville Register & Bee,,"$1,300",59,62,News,1 Week,N,Y,Y,VIRGINIA,,Y,Y,Y,
,Chippewa Herald,,"$1,300",62,65,News,1 Week,N,Y,Y,WISCONSIN,,Y,Y,Y,
,The Independent Tribune,,"$1,300",60,65,News,1 Week,N,Y,Y,NORTH CAROLINA,,Y,Y,Y,
,The Columbus Telegram,,"$1,300",63,65,News,1 Week,N,Y,Y,NEBRASKA,,Y,Y,Y,
,The Daily Nonpareil,,"$1,300",59,66,News,1 Week,N,Y,Y,IOWA,,Y,Y,Y,
,Hickory Daily Record,,"$1,300",62,66,News,1 Week,N,Y,Y,NORTH CAROLINA,,Y,Y,Y,
,Kearny Hub,,"$1,300",61,66,News,1 Week,N,Y,Y,NEBRASKA,,Y,Y,Y,
,Albany Democrat-Herald,,"$1,300",66,67,News,1 Week,N,Y,Y,OREGON,,Y,Y,Y,
,Scottsbluff Star-Herald Online,,"$1,300",61,68,News,1 Week,N,Y,Y,NEBRASKA,,Y,Y,Y,
,Winona Daily News,,"$1,300",61,69,News,1 Week,N,Y,Y,MINNESOTA,,Y,Y,Y,
,Elko Daily Free Press,,"$1,300",64,70,News,1 Week,N,Y,Y,NEVEDA,,Y,Y,Y,
,The Sentinel ,,"$1,300",69,70,News,1 Week,N,Y,Y,PENNSYLVANIA,,Y,Y,Y,
,SC Now,,"$1,300",64,71,News,1 Week,N,Y,Y,SOUTH CAROLINA,,Y,Y,Y,
,The Daily News,,"$1,300",69,71,News,1 Week,N,Y,Y,WASHINGTON D.C.,,Y,Y,Y,
,Moline Dispatch & Rock Island Argus,,"$1,300",64,71,News,1 Week,N,Y,Y,IOWA,,Y,Y,Y,
,Dothan Eagle,,"$1,300",66,71,News,1 Week,N,Y,Y,ALABAMA,,Y,Y,Y,
,Corvallis Gazette Times,,"$1,300",67,71,News,1 Week,N,Y,Y,OREGON,,Y,Y,Y,
,Herald & Review,,"$1,300",66,71,News,1 Week,N,Y,Y,ILLINOIS,,Y,Y,Y,
,The Grand Island Independent,,"$1,300",69,71,News,1 Week,N,Y,Y,NEBRASKA,,Y,Y,Y,
,The Times and Democrat,,"$1,300",64,71,News,1 Week,N,Y,Y,SOUTH CAROLINA,,,,Y,
,Bristol Herald Courier,,"$1,300",66,72,News,1 Week,N,Y,Y,VIRGINIA,,Y,Y,Y,
,Twin Falls Times-News,,"$1,300",66,72,News,1 Week,N,Y,Y,IDAHO,,Y,Y,Y,
,Glens Falls Post-Star,,"$1,300",66,72,News,1 Week,N,Y,Y,NEW YORK,,Y,Y,Y,
,Montana Standard,,"$1,300",66,72,News,1 Week,N,Y,Y,MONTANA,,Y,Y,Y,
,The Citizen Auburn Pub ,,"$1,300",68,72,News,1 Week,N,Y,Y,NEW YORK,,Y,Y,Y,
,La Corsse Tribune,,"$1,300",67,73,News,1 Week,N,Y,Y,WISCONSIN,,Y,Y,Y,
,The News & Advance,,"$1,300",68,73,News,1 Week,N,Y,Y,VIRGINIA,,Y,Y,Y,
,The Journal Times,,"$1,300",67,74,News,1 Week,N,Y,Y,WISCONSIN,,Y,Y,Y,
,The Pantagraph,,"$1,300",68,74,News,1 Week,N,Y,Y,ILLINOIS,,Y,Y,Y,
,The Free Lance-Star,,"$1,300",68,75,News,1 Week,N,Y,Y,VIRGINIA,,Y,Y,Y,
,The Bismarck Tribune,,"$1,300",67,75,News,1 Week,N,Y,Y,NORTH DAKOTA,,Y,Y,Y,
,Quad-City Times,,"$1,300",68,75,News,1 Week,N,Y,Y,IOWA,,Y,Y,Y,
,Casper Star Tribune,,"$1,300",68,76,News,1 Week,N,Y,Y,WYOMING,,Y,Y,Y,
,Fremont Tribune,,"$1,300",60,63,News,1 Week,N,Y,Y,NEBRASKA,,,,Y,
,Journal Star,,"$1,300",74,74,News,1-2 Weeks,N,Y,N,ILLINOIS,,,,Y,
,Arizona Daily Star,,"$1,300",81,81,News,1 Week,N,Y,Y,ARIZONA,,Y,Y,Y,
,Cryptopolitan,,"$1,200",51,74,Crypto,3 Days,N,Y,N,GLOBAL,,,,Y,
,Latitude 33 Magazine,,"$1,200",5,2.5,Real Estate,1 Week,N,Y,Y,CALIFORNIA,,Y,Y,Y,Y
,Coastal Real Estate Guide,,"$1,200",19,22,Real Estate,1 Week,N,Y,Y,CALIFORNIA,,Y,Y,Y,Y
,Newport Beach Magazine,,"$1,200",32,38,News,1 Week,N,Y,Y,CALIFORNIA,,Y,Y,Y,Y
,Laguna Beach Magazine,,"$1,200",27,39,News,1 Week,N,Y,Y,CALIFORNIA,,Y,Y,Y,Y
,Newport Beach Independent,,"$1,200",43,57,News,1 Week,N,Y,Y,CALIFORNIA,,Y,Y,Y,Y
,Laguna Beach Independent,,"$1,200",53,58,News,1 Week,N,Y,Y,CALIFORNIA,,Y,Y,Y,Y
,The Tempe Tribune,,"$1,200",11,31,News,1-3 Days,N,Y,Y,ARIZONA,Y,Y,,Y,
,Arroyo,,"$1,200",54,63,News,1-3 Days,N,Y,Y,CALIFORNIA,Y,Y,,Y,
,Peoria Times,,"$1,200",41,48,News,1-3 Days,N,Y,Y,ARIZONA,Y,Y,,Y,
,The Capistrano Dispatch,,"$1,200",58,52,News,1-3 Days,N,Y,Y,CALIFORNIA,,,,,
,Camarillo Acorn,,"$1,200",47,51,News,1-3 Days,N,Y,Y,CALIFORNIA,Y,Y,,Y,
,West Valley View,,"$1,200",43,52,News,1-3 Days,N,Y,Y,ARIZONA,Y,Y,,Y,
,Foothills News,,"$1,200",50,59,News,1-3 Days,N,Y,Y,ARIZONA,Y,Y,,Y,
,Inside Tucson Business,,"$1,200",50,59,News,1-3 Days,N,Y,Y,ARIZONA,Y,Y,,Y,
,Tucson Weekly,,"$1,200",68,72,News,1-3 Days,N,Y,Y,ARIZONA,Y,Y,,Y,
,Playa Vista Magazine,,"$1,200",23,32,News,1-3 Days,N,Y,Y,CALIFORNIA,Y,Y,,Y,
,Simi Valley Acorn,,"$1,200",50,52,News,1-3 Days,N,Y,Y,UNITED STATES,Y,Y,,Y,
,Phoenix College Times,,"$1,200",51,56,News,3-5 Days,N,Y,Y,ARIZONA,Y,Y,,Y,
,The Argonaut,,"$1,200",51,65,News,1-3 Days,N,Y,Y,CALIFORNIA,Y,Y,,Y,
,Gilbert Sun News,,"$1,200",39,49,News,1-3 Days,N,Y,Y,CALIFORNIA,Y,Y,,Y,
,Desert Times,,"$1,200",50,59,News,1-3 Days,N,Y,Y,ARIZONA,Y,Y,,Y,
,Ahwatukee Foothills News,,"$1,200",53,62,News,1-3 Days,N,Y,Y,ARIZONA,Y,Y,,Y,
,Pasadena Weekly,,"$1,200",54,63,News,1-3 Days,N,Y,Y,CALIFORNIA,Y,Y,,Y,
,VC Reporter,,"$1,200",54,64,News,1-3 Days,N,Y,Y,CALIFORNIA,Y,Y,,Y,
,Arizonan SanTan Sun,,"$1,200",35,44,News,1-3 Days,N,Y,Y,ARIZONA,Y,Y,,Y,
,Moorpark Acorn,,"$1,200",44,45,News,1-3 Days,N,Y,Y,CALIFORNIA,Y,Y,,Y,
,Phoenix Lovin' Life,,"$1,200",51,56,News,1-3 Days,N,Y,Y,ARIZONA,Y,Y,,Y,
,Sound of Freedom,,"$1,200",49,51,News,1-3 Days,N,Y,Y,CALIFORNIA,Y,Y,,Y,
,The Entertainer! Magazine ,,"$1,200",51,56,News,1-3 Days,N,Y,Y,ARIZONA,Y,Y,,Y,
,Queencreek Tribune,,"$1,200",28,35,News,1-3 Days,N,Y,Y,ARIZONA,Y,Y,,Y,
,East Valley Tribune,,"$1,200",64,73,News,1-3 Days,N,Y,Y,ARIZONA,Y,Y,,Y,
,Ventana Monthly,,"$1,200",30,37,News,1-3 Days,N,Y,Y,CALIFORNIA,Y,Y,,Y,
,LADTNews,,"$1,200",59,68,News,1-3 Days,N,Y,Y,CALIFORNIA,Y,Y,,Y,
,Thousand Oaks Acorn,,"$1,200",55,62,News,1-3 Days,N,Y,Y,UNITED STATES,Y,Y,,Y,
,The Acorn,,"$1,200",52,61,News,1-3 Days,N,Y,Y,UNITED STATES,Y,Y,,Y,
,Lovin' Life,,"$1,200",50,59,News,1-3 Days,N,Y,Y,ARIZONA,Y,Y,,Y,
,SanTan Sun News,,"$1,200",35,44,News,1-3 Days,N,Y,Y,ARIZONA,Y,Y,,Y,
,The Glendale Star,,"$1,200",49,51,News,1-3 Days,N,Y,Y,CALIFORNIA,Y,Y,,Y,
,Airpark News,,"$1,200",40,58,News,1-3 Days,N,Y,Y,ARIZONA,Y,Y,,Y,
,Explorer News,,"$1,200",50,59,News,1-3 Days,N,Y,Y,ARIZONA,Y,Y,,Y,
,The Mesa Tribune,,"$1,200",32,44,News,1-3 Days,N,Y,Y,ARIZONA,Y,Y,,Y,
,Marana News,,"$1,200",50,59,News,1-3 Days,N,Y,Y,ARIZONA,Y,Y,,Y,
,Scottsdale Progress,,"$1,200",40,58,News,1-3 Days,N,Y,Y,ARIZONA,Y,Y,,Y,
,The Foothills Focus,,"$1,200",35,43,News,1-3 Days,N,Y,Y,ARIZONA,Y,Y,,Y,
,News Mirror,,"$1,200",49,41,News,3-5 Days,N,Y,Y,CALIFORNIA,,,,Y,
,Fontana Herald News,,"$1,200",53,56,News,3-5 Days,N,Y,Y,CALIFORNIA,,,,Y,
,Redland Community News,,"$1,200",39,49,News,3-5 Days,N,Y,Y,CALIFORNIA,,,,Y,
,Record Gazette,,"$1,200",42,45,News,3-5 Days,N,Y,Y,CALIFORNIA,,,,Y,
,LEO Weekly,,"$1,200",59,68,News,3-5 Days,N,Y,Y,KENTUCKY,,,,,
,Citybeat,,"$1,200",64,74,News,1-3 Days,N,Y,Y,OHIO,,,Y,,
,Metro Times,,"$1,200",76,78,News,1-3 Days,N,Y,Y,MICHIGAN,,,,,
,Sauce Magazine,,"$1,200",52,65,Entertainment,3-5 Days,Discrete,Y,Y,MISSOURI,,,,,
,IB Times (UK),,"$1,200",89,83,News,3-5 Days,N,Y,N,UNITED KINGDOM,,Y,,Y,
,Haute Time,,"$1,200",57,50,Luxury,1-2 Weeks,Discreet,Y,Y,GLOBAL,,,,,
,Haute Residence,,"$1,200",49,64,Luxury,1-2 Weeks,Discreet,Y,Y,GLOBAL,,,,,
,Haute Beauty,,"$1,200",78,77,Lifestyle ,1-2 Weeks,Discreet,Y,Y,FLORIDA,,Y,,,
,Haute Living ,,"$1,200",78,77,News,1 Week,Discreet,Y,Y,MIAMI,,Y,,,
,Inquirer,,"$1,200",89,84,News,3-5 Days,Discreet,Y,N,PHILIPPINES,,Y,Y,Y,Y
,JPost,,"$1,200",91,87,News,1 Week,Discreet,Y,Y,JERUSALEM,,x2 Cost,x2 Cost,x2 Cost,x2 Cost
,Washington Times,,"$1,200",90,86,News,1 Week,Y,Y,Y,WASHINGTON,,Y,,,
,Fast Company Africa,,"$1,100",36,42,News,1 Week,N,Y,N,AFRICA,,Y,,,
,The Leader News,,"$1,100",45,58,News,3-5 Days,N,Y,N,UNITED STATES,,,,,
,Marina Times,,"$1,100",47,50,News,3-5 Days,N,Y,Y,UNITED STATES,,,,,
,Fort Bend Star,,"$1,100",46,50,News,3-5 Days,N,Y,N,UNITED STATES,,,,,
,The Green Sheet,,"$1,100",41,30,News,3-5 Days,N,Y,N,UNITED STATES,,,,,
,Village Voice ,,"$1,100",84,82,News,1 Day,N,Y,N,NEW YORK,,Y,Y,Y,Y
,Bust Magazine,,"$1,100",73,73,News,1-3 Days,N,Y,N,GLOBAL,,Y,Y,Y,Y
,LA Weekly,,"$1,100",76,84,News,1 Day,N,Y,N,LOS ANGELES,,Y,Y,Y,Y
,OC Weekly,,"$1,100",72,75,News,1-3 Days,Discreet,Y,N,CALIFORNIA,,,,,
6 Month Lifespan,Dallas Observer,,"$1,000",78,79,News,3 Days,Y,Y,Y,TEXAS,,,,,
6 Month Lifespan,West Word,,"$1,000",77,81,News,3 Days,Y,Y,Y,DENVER,,Y,Y,Y,Y
6 Month Lifespan,Miami New Times,,"$1,000",80,81,News,3 Days,Y,Y,Y,MIAMI,,Y,Y,Y,Y
6 Month Lifespan,Phoenix New Times,,"$1,000",74,79,News,3 Days,Y,Y,Y,ARIZONA,,Y,Y,Y,Y
6 Month Lifespan,Broward Palm Beach (6 Month Lifespan),,"$1,000",74,72,News,3-5 Days,Y,Y,Y,FLORIDA,,Y,Y,Y,Y
Being Removed from list in Sept,First for Women,,"$1,000",60,69,Female,1-3 Weeks,N,Y,N,GLOBAL,Y,Y,Y,Y,
Being Removed from list in Sept,Closer Weekly,,"$1,000",78,70,Entertainment,1-3 Weeks,N,Y,N,GLOBAL,Y,Y,Y,Y,
Being Removed from list in Sept,Life & Style ,,"$1,000",79,73,Lifestyle ,1-3 Weeks,N,Y,N,UNITED STATES,Y,Y,Y,Y,
Being Removed from list in Sept,In Touch Weekly,,"$1,000",82,74,Lifestyle ,1-3 Weeks,N,Y,N,GLOBAL,Y,Y,Y,Y,
Being Removed from list in Sept,Soap Opera Digest,,"$1,000",72,61,Entertainment,1-3 Weeks,N,Y,N,GLOBAL,Y,Y,Y,Y,
Being Removed from list in Sept,J-14 Magazine,,"$1,000",78,66,Entertainment,1-3 Weeks,N,Y,N,GLOBAL,Y,Y,Y,Y,
Being Removed from list in Sept,Woman's World ,,"$1,000",64,71,Female ,2-3 Weeks,N,Y,N,GLOBAL,Y,Y,Y,Y,
Being Removed from list in Sept,Soaps In Depth,,"$1,000",59,47,News,1-2 Weeks,N,Y,Y,GLOBAL,,,,,
,Distractify.com (Syndicates with MSN),,"$1,000",87,77,Entertainment,1-3 Days,N,Y,Y,UNITED STATES,,,,,
,Green Matters (Syndicates w/ MSN & Apple News),,"$1,000",64,76,Lifestyle,1-3 Days,N,Y,Y,UNITED STATES,,Y,,,
,Market Realist,,"$1,000",74,75,Business,1-3 Days,N,Y,Y,UNITED STATES,,,,,
,Ladygunn.com,,"$1,000",57,64,Entertainment,1-2 Weeks,N,Y,Y,UNITED STATES,,,,,
,Kaltbult Magazine,,"$1,000",54,73,Entertainment,1-2 Weeks,N,Y,Y,UNITED STATES,,,,,
,NewsBlaze,,"$1,000",64,70,News,1 Week,N,Y,Y,UNITED STATES,,,,,
,EarMilk,,"$1,000",60,72,Music,2-3 Weeks,N,Y,N,GLOBAL,,,,,
,HappySprout,,"$1,000",34,46,Lifestyle,1 Week,N,Y,N,UNITED STATES,,,,,
,Blissmark,,"$1,000",20,26,Lifestyle,1 Week,N,Y,N,UNITED STATES,,,,,
,PawTracks,,"$1,000",45,54,Lifestyle,1 Week,N,Y,N,UNITED STATES,,,,,
,NewFolks,,"$1,000",27,38,News,1 Week,N,Y,N,UNITED STATES,,,,,
,Butter Cup,,"$1,000",72,41,News,3-5 Days,N,Y,Y,UNITED STATES,,,,Y,
,Live Mint,,"$1,000",91,88,News,1 Week,Y,N,N,INDIA,,,,Y,
,SF Weekly,,"$1,000",73,80,News,1-3 Days,N,Y,Y,CALIFORNIA,,Y,Y,Y,Y
,SF Examiner,,"$1,000",82,80,News,1-3 Days,N,Y,Y,CALIFORNIA,,Y,Y,Y,Y
,Swagger Magazine,,"$1,000",62,63,News,1-3 Days,N,Y,Y,UNITED STATES,Y,Y,Y,Y,Y
,U.Today,,"$1,000",53,76,Crypto,1 Week,Discreet,Y,N,GLOBAL,,,,Y,
,Times of Malta,,"$1,000",77,79,News,3-5 Days,Discreet,Y,Y,EUROPE,,Y,Y,Y,Y
,Bitcoinist,,"$1,000",81,80,Crypto,1-3 Days,Discreet,Y,N,GLOBAL,,,,Y,
,NewsBTC,,"$1,000",81,81,Crypto,1-3 Days,Discreet,Y,N,GLOBAL,,,,,
,Front Page Detectives,,"$1,000",33,25,News,1 Week,N,Y,Y,GLOBAL,,Y,Y,Y,Y
,The Royal Observer,,"$1,000",31,25,News,1 Week,N,Y,Y,GLOBAL,,Y,Y,Y,Y
,Womens Golf Journal,,"$1,000",28,30,News,1 Week,N,Y,Y,GLOBAL,,Y,Y,Y,Y
,Morning Honey,,"$1,000",29,34,News,1 Week,N,Y,Y,GLOBAL,,Y,Y,Y,Y
,Galore Magazine,,"$1,000",78,66,Lifestyle,1-3 Days,N,Y,Y,UNITED STATES,,,,,
,Female First,,"$1,000",78,74,News,1-3 Days,N,Y,N,UNITED KINGDOM,,Y,Y,Y,Y
,KDAF,,"$1,000",70,71,News,1 Week,Y,Y,N,TEXAS,,,,,
Lowered,Realty Times (Contributor),,"$1,000",58,77,Real Estate,1-2 Weeks,N,Y,N,UNITED STATES,,,,,
Lowered,Sporting News,,"$1,000",85,83,Sports,1-2 Weeks,N,Y,N,UNITED STATES,Y,Y,Y,Y,Y
,CelebSecrets.com,,$900,39,46,News,3-5 Days,N,Y,Y,UNITED STATES,,,,,
,Outlook India,,$900,91,89,News,1 Week,Y,Y,N,INDIA,,Y,,Y,Y
,San Diego Reader,,$900,75,76,News,3 Days,N,Y,N,CALIFORNIA,,,,,
,HH Finance,,$900,31,40,News,1-3 Days,N,Y,Y,UNITED STATES,,Y,,Y,
,Times Monaco,,$900,38,54,News,1-3 Days,N,Y,Y,MONACO,,,,,
,All Out Door,,$900,54,53,Lifestyle,3-5 Days,N,Y,Y,UNITED STATES,,,,,
,AG Daily,,$900,63,70,Lifestyle,3-5 Days,N,Y,Y,UNITED STATES,,,,,
,Outdoor Hub,,$900,71,64,Lifestyle,3-5 Days,N,Y,Y,UNITED STATES,,,,,
,Considerable.com,,$900,56,70,News,3-5 Days,N,Y,Y,UNITED STATES,,,,,
,SelfEmployed.com (Syndicates to MSN),,$900,36,17,News,3-5 Days,N,Y,Y,UNITED STATES,,,,,
,Irvine Weekly,,$900,35,50,News,1 Day,N,Y,N,IRVINE,,Y,Y,Y,Y
,Tech Round,,$900,50,76,Tech,1-2 Weeks,N,Y,Y,UNITED KINGDOM,,,,,
,Tidbits of Experience,,$900,63,37,Lifestyle,3-5 Days,N,Y,Y,UNITED STATES,,,,,
,Bourbon and Boots,,$900,48,52,Lifestyle,3-5 Days,N,Y,Y,UNITED STATES,,,,,
,Unfinished Man,,$900,70,56,News,1 Week,N,Y,Y,UNITED STATES,Y,Y,Y,Y,Y
,Geek Extreme,,$900,67,49,News,3 Days,N,Y,Y,GLOBAL,Y,Y,Y,Y,Y
,Apple News (Syndication from Grit Daily),,$900,99,97,News,3-5 Days,N,N,N,UNITED STATES,,,,,
,CEO World Biz (Contributor),,$900,71,77,Business,1-3 Days,N,Y,N,UNITED STATES,,,,,
,Business Insider Africa,,$900,94,92,News,1 Week,N,Y,Y,AFRICA,,x3 Cost,x3 Cost,x3 Cost,x3 Cost
,Metropolitan Design Magazine,,$900,13,16,Lifestyle,1-3 Days,N,Y,Y,GLOBAL,,,,,
Updated TAT,Upscale Living,,$900,70,65,Lifestyle,1 Week,N,Y,Y,GLOBAL,,,,,
,Sheen Magazine,,$900,44,69,Lifestyle,1-3 Days,N,Y,Y,GLOBAL,,Y,Y,Y,
,Finance Feeds,,$900,49,71,Business,1-3 Days,N,Y,Y,UNITED STATES,,,,Y,
,Grit Daily,,$900,67,74,News,3 Days ,N,Y,N,GLOBAL,x3 Cost,Y,Y,Y,x3 Cost
,Soup.io,,$900,38,78,News,1-2 Weeks,N,Y,Y,UNITED STATES,Y,Y,Y,Y,Y
,Broadway World,,$900,86,87,Music,1-3 Days,N,Y,N,GLOBAL,,Y,Y,Y,
New,New York Report,,$900,46,39,News,3-5 Days,N,Y,Y,UNITED STATES,,,,,
New,Debt Discipline ,,$900,57,35,News,3-5 Days,N,Y,Y,UNITED STATES,,,,,
New,Startup Hub,,$900,31,50,News,3-5 Days,N,Y,Y,UNITED STATES,,,,,
New,Mom Blog Life,,$900,56,42,News,3-5 Days,N,Y,Y,UNITED STATES,,,,,
New,Strategy Eye,,$900,50,44,News,3-5 Days,N,Y,Y,UNITED STATES,,,,,
,Benzinga,,$800,87,86,Crypto/News,1 Week,Discreet,Y,N,UNITED STATES,,Y,,Y,
,Vegas News,,$800,66,61,News,3-5 Days,N,Y,Y,NEVADA,,,,,
,Women Stuff,,$800,33,34,News,1-3 Days,N,Y,Y,AFRICA,,Y,,,
,Men Stuff,,$800,36,28,News,1-3 Days,Discrete,Y,Y,UNITED STATES,,Y,,,
,CoinPedia,,$800,48,74,Crypto,1 Week,Discreet,Y,N,GLOBAL,,,,Y,
,IT Security Guru,,$800,50,67,Tech,1-2 Weeks,N,Y,Y,UNITED KINGDOM,,,,,
,London Loves Business,,$800,59,73,Business,1-2 Weeks,N,Y,Y,UNITED KINGDOM,,,,,
,TheCeo.in,,$700,49,63,Business,3-5 Days,N,Y,Y,INDIA,,,,Y,
,HackerNoon,,$700,87,88,Tech/Crypto,1 Week,N,Y,N,GLOBAL,,,,Y,
,Champion Daily,,$700,42,27,News,3-5 Days,N,Y,Y,UNITED STATES,,,,,
,Gigwise.com,,$700,78,59,News,1 Week,N,Y,Y,UNITED STATES,,,,,
,The South African ,,$700,79,75,News ,1 Week,N,Y,N,SOUTH AFRICA,,Y,Y,Y,Y
,Notion Online,,$700,45,63,News,1 Week,N,Y,N,GLOBAL,,,,,
,Super Crypto News,,$700,33,41,Crypto,3-5 Days,Discreet,Y,N,GLOBAL,,,,Y,
,Yahoo / Business Insider / AP News (Press Release),,$700,94,92,Business,3-5 Days,Discreet,Y,N,GLOBAL,,,Y,Y,
,Block Telergaph,,$700,38,63,Crypto,1 Week,N,Y,Y,GLOBAL,x3 Cost,Y,Y,Y,x3 Cost
,Retail Insider,,$700,57,74,Fashion,1-3 Days,N,Y,Y,UNITED STATES,,Y,Y,Y,Y
,Pulse.com.gh,,$700,78,71,News,2-3 Days,N,Y,N,GHANA,,,,,
,Pulse.ng,,$700,85,76,News,2-3 Days,N,Y,N,NIGERIA,,,,,
,Pulse.ug,,$700,35,33,News,2-3 Days,N,Y,N,UGANDA,,,,,
,Pulse Sports,,$700,53,53,Sports,2-3 Days,N,Y,N,NIGERIA,,,,,Y
,PulseSports.co.ke,,$700,36,33,Sports,2-3 Days,N,Y,N,KENYA,,,,,Y
,Pulse.sn,,$700,35,33,Sports,2-3 Days,N,Y,N,SENEGAL,,,,,
,PulseLive.co.ke,,$700,56,61,Sports,2-3 Days,N,Y,N,KENYA,,,,,
,PulseSports.ug,,$700,36,33,Sports,2-3 Days,N,Y,N,UGANDA,,,,,Y
,Digital Journal (Contributor),,$650,87,87,News,3-5 Days,N,Y,Y,GLOBAL,,Y,Y,,
,Khaleej Times (Press Release),,$650,87,83,News,1-2 Weeks,N,Y,Y,UAE,,Y,Y,Y,
,GrowthScribe.com,,$600,42,67,News,3-5 Days,N,Y,Y,UNITED STATES,x2.5 Cost,x2.5 Cost,x2.5 Cost,x2.5 Cost,x2.5 Cost
,Mid-Day,,$600,85,81,News,1-3 Days,Y,Y,N,UNITED STATES,,,,,
,Mid-Day (Do-Follow),,$600,85,81,News,1-3 Days,Y,Y,N,UNITED STATES,,,,,
,The Silicon Review,,$600,51,74,News,3-5 Days,N,Y,Y,CALIFORNIA,,,,,
,Biz Fortune,,$600,10,27,News,3-5 Days,N,Y,Y,UNITED STATES,,,,,
,CIO Bulletin,,$600,39,65,News,3-5 Days,N,Y,Y,UNITED STATES,,,,,
,Business Honor,,$600,14,7,Business,3-5 Days,N,Y,Y,UNITED STATES,,,,,
,Global Banking & Finance,,$600,81,79,Business,3-5 Days,N,Y,N,UNITED STATES,,,,Y,
,CelebMix,,$600,63,64,Lifestyle,3 Days,N,Y,N,GLOBAL,,,,,
,Young Health Magazine,,$600,53,44,Lifestyle,2-3 Days,N,Y,Y,UNITED STATES,,Y,,Y,
,Science World Report,,$600,65,67,News,1-3 Days,N,Y,Y,UNITED STATES,,Y,,Y,
,Street Insider,,$600,83,80,News,1-3 Days,Discreet,Y,N,UNITED STATES,,,,,
,Yahoo News/Finance (AccessWire),,$600,93,92,News,3-5 Days,Discreet,Y,N,GLOBAL,,,Y,,
,Latin Post,,$600,66,71,News ,1-3 Days,N,Y,N,LATIN AMERICA,,Y,,Y,
,Motor Times,,$600,6,1,News,1-3 Days,N,Y,Y,UNITED STATES,,Y,,Y,
,Money Times,,$600,28,30,Business,1-3 Days,N,Y,Y,UNITED STATES,,Y,,Y,
,Lawyer Herald,,$600,52,41,News,1-3 Days,N,Y,Y,UNITED STATES,,Y,,Y,
,Game n Guide,,$600,63,50,Gaming,1-3 Days,N,Y,Y,UNITED STATES,,Y,,Y,
,KPop Starz,,$600,82,62,Music,1-3 Days,N,Y,Y,UNITED STATES,,Y,,Y,
,Parents Herald,,$600,62,66,News,1-3 Days,N,Y,Y,UNITED STATES,,Y,,Y,
,Science Times,,$600,64,76,Tech,2-3 Days,N,Y,Y,UNITED STATES,,Y,,Y,
,VC Post,,$600,63,60,News,1-3 Days,N,Y,N,GLOBAL,,Y,,Y,
,California Business Journal,,$600,40,70,News,1 Week,N,Y,Y,CALIFORNIA,,,,,Y
,Finance Digest,,$600,64,71,News,3-5 Days,N,Y,Y,UNITED STATES,,,,Y,
,Fintech Finance News,,$600,39,73,Business,1-3 Days,N,Y,Y,UNITED STATES,,,,,
,Fashion Week Daily,,$600,69,74,Fashion,3-5 Days,N,Y,N,GLOBAL,,,,,
New,Sarasota Magazine,,$600,58,73,News,2-3 Days,N,Y,Y,UNITED STATES,Y,Y,Y,Y,Y
,Coin Review News,,$500,29,39,News,3-5 Days,N,Y,Y,UNITED STATES,,,,,
,StartUpBooted.com ,,$500,55,67,News,3-5 Days,N,Y,Y,UNITED STATES,,,,,
,PercentageCalculatorsHub.com,,$500,53,67,News,3-5 Days,N,Y,Y,UNITED STATES,,,,,
,SnapchatPlanet.com,,$500,43,64,News,3-5 Days,N,Y,Y,UNITED STATES,,,,,
,GrowthNavigate.com,,$500,50,61,News,3-5 Days,N,Y,Y,UNITED STATES,x2.5 Cost,x2.5 Cost,x2.5 Cost,x2.5 Cost,x2.5 Cost
